City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Berlevag,70.86,29.09,30.2,86,75,3.36,NO,2020-02-23 22:39:30
70,Te Anau,-45.42,167.72,60.03,60,1,5.95,NZ,2020-02-23 22:36:01
71,Yar-Sale,66.83,70.83,29.35,84,100,24.7,RU,2020-02-23 22:33:04
72,Sorkjosen,69.8,20.93,26.6,92,100,14.99,NO,2020-02-23 22:39:31
73,Port Alfred,-33.59,26.89,60.01,82,31,1.32,ZA,2020-02-23 22:35:58
74,Sakakah,29.97,40.21,59.0,30,100,12.75,SA,2020-02-23 22:37:56
75,Lorengau,-2.02,147.27,83.03,72,55,3.33,PG,2020-02-23 22:36:57
76,Qaanaaq,77.48,-69.36,-19.88,64,0,6.44,GL,2020-02-23 22:33:16
77,Verkhnyaya Inta,65.98,60.31,22.87,79,100,11.59,RU,2020-02-23 22:39:33
78,Kumluca,36.37,30.29,45.27,64,4,4.07,TR,2020-02-23 22:39:34
79,Atuona,-9.8,-139.03,81.54,77,13,12.01,PF,2020-02-23 22:35:47
80,Lebu,-37.62,-73.65,57.33,79,4,7.07,CL,2020-02-23 22:35:44
81,Port-Gentil,-0.72,8.78,82.4,88,20,4.7,GA,2020-02-23 22:39:35
82,Katsuura,35.13,140.3,44.6,42,40,8.05,JP,2020-02-23 22:36:08
83,Manavgat,36.79,31.44,46.4,87,40,2.24,TR,2020-02-23 22:39:36
84,Cangzhou,38.32,116.87,46.45,68,97,4.94,CN,2020-02-23 22:39:04
85,Ambilobe,-13.2,49.05,75.78,92,90,1.77,MG,2020-02-23 22:39:36
86,La Trinidad,16.45,120.59,73.6,60,74,1.99,PH,2020-02-23 22:39:37
87,Giddalur,15.35,78.92,65.64,93,89,1.07,IN,2020-02-23 22:39:37
88,New Norfolk,-42.78,147.06,63.0,77,75,4.7,AU,2020-02-23 22:35:45
89,Ahipara,-35.17,173.17,81.0,64,0,1.01,NZ,2020-02-23 22:37:15
